Data As Of,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia and COVID-19 Deaths
09/27/2023,Kentucky,All Sexes,75-84 years,5642.0,52328.0,2924.0
09/27/2023,Kentucky,All Sexes,85 years and over,4981.0,47000.0,1964.0
09/27/2023,Louisiana,All Sexes,All Ages,17722.0,199509.0,8882.0
09/27/2023,Louisiana,All Sexes,Under 1 year,16.0,1462.0,0.0
09/27/2023,Louisiana,All Sexes,0-17 years,45.0,2750.0,12.0
09/27/2023,Louisiana,All Sexes,1-4 years,0.0,344.0,0.0
09/27/2023,Louisiana,All Sexes,5-14 years,11.0,448.0,0.0
09/27/2023,Louisiana,All Sexes,15-24 years,75.0,2931.0,31.0
09/27/2023,Louisiana,All Sexes,18-29 years,141.0,4795.0,65.0
09/27/2023,Louisiana,All Sexes,25-34 years,234.0,5597.0,110.0
09/27/2023,Louisiana,All Sexes,30-39 years,380.0,7195.0,189.0
09/27/2023,Louisiana,All Sexes,35-44 years,572.0,8797.0,292.0
09/27/2023,Louisiana,All Sexes,40-49 years,836.0,10402.0,404.0
09/27/2023,Louisiana,All Sexes,45-54 years,1253.0,13464.0,637.0
09/27/2023,Louisiana,All Sexes,50-64 years,3563.0,37924.0,1892.0
09/27/2023,Louisiana,All Sexes,55-64 years,2795.0,30023.0,1484.0
09/27/2023,Louisiana,All Sexes,65-74 years,4383.0,44003.0,2348.0
09/27/2023,Louisiana,All Sexes,75-84 years,4683.0,47442.0,2346.0
09/27/2023,Louisiana,All Sexes,85 years and over,3691.0,44998.0,1626.0
09/27/2023,Maine,All Sexes,All Ages,3235.0,61645.0,872.0
09/27/2023,Maine,All Sexes,Under 1 year,0.0,245.0,0.0
09/27/2023,Maine,All Sexes,0-17 years,0.0,423.0,0.0
09/27/2023,Maine,All Sexes,1-4 years,0.0,44.0,0.0
09/27/2023,Maine,All Sexes,5-14 years,0.0,65.0,0.0
09/27/2023,Maine,All Sexes,15-24 years,0.0,416.0,0.0
09/27/2023,Maine,All Sexes,18-29 years,0.0,765.0,0.0
09/27/2023,Maine,All Sexes,25-34 years,17.0,1051.0,0.0
09/27/2023,Maine,All Sexes,30-39 years,31.0,1462.0,0.0
09/27/2023,Maine,All Sexes,35-44 years,56.0,1797.0,16.0
09/27/2023,Maine,All Sexes,40-49 years,88.0,2109.0,27.0
09/27/2023,Maine,All Sexes,45-54 years,132.0,2987.0,37.0
09/27/2023,Maine,All Sexes,50-64 years,453.0,9270.0,134.0
09/27/2023,Maine,All Sexes,55-64 years,371.0,7424.0,111.0
09/27/2023,Maine,All Sexes,65-74 years,654.0,12232.0,224.0
09/27/2023,Maine,All Sexes,75-84 years,958.0,15983.0,262.0
09/27/2023,Maine,All Sexes,85 years and over,1038.0,19401.0,214.0
09/27/2023,Maryland,All Sexes,All Ages,18143.0,209247.0,7256.0
09/27/2023,Maryland,All Sexes,Under 1 year,10.0,1280.0,0.0
09/27/2023,Maryland,All Sexes,0-17 years,29.0,2088.0,0.0
09/27/2023,Maryland,All Sexes,1-4 years,0.0,180.0,0.0
09/27/2023,Maryland,All Sexes,5-14 years,10.0,299.0,0.0
09/27/2023,Maryland,All Sexes,15-24 years,44.0,2255.0,15.0
09/27/2023,Maryland,All Sexes,18-29 years,101.0,4226.0,35.0
09/27/2023,Maryland,All Sexes,25-34 years,179.0,5237.0,64.0
09/27/2023,Maryland,All Sexes,30-39 years,278.0,6385.0,102.0
09/27/2023,Maryland,All Sexes,35-44 years,426.0,7411.0,155.0
09/27/2023,Maryland,All Sexes,40-49 years,648.0,8593.0,248.0
09/27/2023,Maryland,All Sexes,45-54 years,1027.0,11846.0,417.0
09/27/2023,Maryland,All Sexes,50-64 years,2991.0,34793.0,1282.0
09/27/2023,Maryland,All Sexes,55-64 years,2348.0,27577.0,1016.0
09/27/2023,Maryland,All Sexes,65-74 years,3838.0,41207.0,1660.0
09/27/2023,Maryland,All Sexes,75-84 years,4799.0,50574.0,2008.0
09/27/2023,Maryland,All Sexes,85 years and over,5459.0,61381.0,1920.0
09/27/2023,Massachusetts,All Sexes,All Ages,21286.0,240422.0,8700.0
09/27/2023,Massachusetts,All Sexes,Under 1 year,0.0,929.0,0.0
09/27/2023,Massachusetts,All Sexes,0-17 years,24.0,1603.0,0.0
09/27/2023,Massachusetts,All Sexes,1-4 years,0.0,161.0,0.0
09/27/2023,Massachusetts,All Sexes,5-14 years,10.0,280.0,0.0
09/27/2023,Massachusetts,All Sexes,15-24 years,27.0,1539.0,0.0
09/27/2023,Massachusetts,All Sexes,18-29 years,68.0,3020.0,24.0
09/27/2023,Massachusetts,All Sexes,25-34 years,126.0,4314.0,47.0
09/27/2023,Massachusetts,All Sexes,30-39 years,175.0,5806.0,72.0
09/27/2023,Massachusetts,All Sexes,35-44 years,243.0,6761.0,88.0
09/27/2023,Massachusetts,All Sexes,40-49 years,379.0,7763.0,140.0
09/27/2023,Massachusetts,All Sexes,45-54 years,666.0,11310.0,273.0
09/27/2023,Massachusetts,All Sexes,50-64 years,2345.0,33944.0,1104.0
09/27/2023,Massachusetts,All Sexes,55-64 years,1908.0,26842.0,924.0
09/27/2023,Massachusetts,All Sexes,65-74 years,3762.0,43747.0,1766.0
09/27/2023,Massachusetts,All Sexes,75-84 years,5681.0,59295.0,2495.0
